label,track_id,time,centroid_x,centroid_y,area,radius,location,segmentation_path
1,0,0,33,88,706.9,15,middle,frame_0.tiff
2,1,0,67,87,706.9,15,middle,frame_0.tiff
3,2,0,100,91,530.9,13,middle,frame_0.tiff
4,3,0,133,88,530.9,13,middle,frame_0.tiff
5,4,0,167,99,804.2,16,middle,frame_0.tiff
1,0,1,33,85,615.8,14,middle,frame_1.tiff
2,1,1,67,88,530.9,13,middle,frame_1.tiff
3,2,1,100,101,380.1,11,middle,frame_1.tiff
4,3,1,133,84,380.1,11,middle,frame_1.tiff
5,4,1,167,87,706.9,15,middle,frame_1.tiff
1,0,2,33,79,452.4,12,top,frame_2.tiff
2,1,2,67,91,452.4,12,middle,frame_2.tiff
3,2,2,100,89,452.4,12,middle,frame_2.tiff
4,3,2,133,77,452.4,12,top,frame_2.tiff
5,4,2,167,97,530.9,13,middle,frame_2.tiff
1,0,3,33,73,452.4,12,top,frame_3.tiff
2,1,3,67,97,314.2,10,middle,frame_3.tiff
3,2,3,100,96,452.4,12,middle,frame_3.tiff
4,3,3,133,64,452.4,12,top,frame_3.tiff
5,4,3,167,97,380.1,11,middle,frame_3.tiff
1,0,4,33,59,380.1,11,top,frame_4.tiff
2,1,4,67,90,201.1,8,middle,frame_4.tiff
3,2,4,100,94,314.2,10,middle,frame_4.tiff
4,3,4,133,68,380.1,11,top,frame_4.tiff
5,4,4,167,111,314.2,10,middle,frame_4.tiff
1,0,5,33,64,380.1,11,top,frame_5.tiff
2,1,5,67,75,201.1,8,top,frame_5.tiff
3,2,5,100,103,314.2,10,middle,frame_5.tiff
4,3,5,133,80,314.2,10,middle,frame_5.tiff
5,4,5,167,110,314.2,10,middle,frame_5.tiff
1,0,6,33,50,314.2,10,top,frame_6.tiff
2,1,6,67,87,113.1,6,middle,frame_6.tiff
3,2,6,100,107,201.1,8,middle,frame_6.tiff
4,3,6,133,65,254.5,9,top,frame_6.tiff
5,4,6,167,124,314.2,10,bottom,frame_6.tiff
1,0,7,33,60,254.5,9,top,frame_7.tiff
2,1,7,67,73,153.9,7,top,frame_7.tiff
3,2,7,100,112,201.1,8,middle,frame_7.tiff
4,3,7,133,67,153.9,7,top,frame_7.tiff
5,4,7,167,132,201.1,8,bottom,frame_7.tiff
1,0,8,33,58,254.5,9,top,frame_8.tiff
2,1,8,67,73,153.9,7,top,frame_8.tiff
3,2,8,100,118,153.9,7,middle,frame_8.tiff
4,3,8,133,68,153.9,7,top,frame_8.tiff
5,4,8,167,134,113.1,6,bottom,frame_8.tiff
1,0,9,33,62,254.5,9,top,frame_9.tiff
2,1,9,67,74,78.5,5,top,frame_9.tiff
3,2,9,100,113,113.1,6,middle,frame_9.tiff
4,3,9,133,82,201.1,8,middle,frame_9.tiff
5,4,9,167,127,153.9,7,bottom,frame_9.tiff
1,0,10,33,67,314.2,10,top,frame_10.tiff
2,1,10,67,66,78.5,5,top,frame_10.tiff
3,2,10,100,112,153.9,7,middle,frame_10.tiff
4,3,10,133,70,153.9,7,top,frame_10.tiff
5,4,10,167,133,78.5,5,bottom,frame_10.tiff
1,0,11,33,69,314.2,10,top,frame_11.tiff
2,1,11,67,75,78.5,5,top,frame_11.tiff
3,2,11,100,100,153.9,7,middle,frame_11.tiff
4,3,11,133,69,78.5,5,top,frame_11.tiff
5,4,11,167,133,113.1,6,bottom,frame_11.tiff
1,0,12,33,55,201.1,8,top,frame_12.tiff
2,1,12,67,89,78.5,5,middle,frame_12.tiff
3,2,12,100,99,153.9,7,middle,frame_12.tiff
4,3,12,133,78,28.3,3,top,frame_12.tiff
5,4,12,167,136,50.3,4,bottom,frame_12.tiff
1,0,13,33,55,153.9,7,top,frame_13.tiff
2,1,13,67,79,113.1,6,top,frame_13.tiff
3,2,13,100,113,201.1,8,middle,frame_13.tiff
4,3,13,133,92,28.3,3,middle,frame_13.tiff
5,4,13,167,136,78.5,5,bottom,frame_13.tiff
1,0,14,33,45,78.5,5,top,frame_14.tiff
2,1,14,67,85,113.1,6,middle,frame_14.tiff
3,2,14,100,123,254.5,9,bottom,frame_14.tiff
4,3,14,133,78,28.3,3,top,frame_14.tiff
5,4,14,167,132,28.3,3,bottom,frame_14.tiff
1,0,15,33,47,78.5,5,top,frame_15.tiff
2,1,15,67,89,50.3,4,middle,frame_15.tiff
3,2,15,100,127,314.2,10,bottom,frame_15.tiff
4,3,15,133,79,28.3,3,top,frame_15.tiff
5,4,15,167,121,28.3,3,bottom,frame_15.tiff
1,0,16,33,41,78.5,5,top,frame_16.tiff
2,1,16,67,94,28.3,3,middle,frame_16.tiff
3,2,16,100,126,201.1,8,bottom,frame_16.tiff
4,3,16,133,87,50.3,4,middle,frame_16.tiff
5,4,16,167,111,50.3,4,middle,frame_16.tiff
1,0,17,33,51,78.5,5,top,frame_17.tiff
2,1,17,67,99,28.3,3,middle,frame_17.tiff
3,2,17,100,118,153.9,7,middle,frame_17.tiff
4,3,17,133,99,50.3,4,middle,frame_17.tiff
5,4,17,167,107,50.3,4,middle,frame_17.tiff
1,0,18,33,44,28.3,3,top,frame_18.tiff
2,1,18,67,99,28.3,3,middle,frame_18.tiff
3,2,18,100,108,153.9,7,middle,frame_18.tiff
4,3,18,133,95,78.5,5,middle,frame_18.tiff
5,4,18,167,117,28.3,3,middle,frame_18.tiff
1,0,19,33,45,28.3,3,top,frame_19.tiff
2,1,19,67,88,50.3,4,middle,frame_19.tiff
3,2,19,100,93,113.1,6,middle,frame_19.tiff
4,3,19,133,95,50.3,4,middle,frame_19.tiff
5,4,19,167,107,28.3,3,middle,frame_19.tiff
